Characteristic,Sentiment
Listens to everyone in the class.,Positive
Shares class issues with teachers politely.,Positive
Helps solve small problems between students.,Positive
Stays calm and behaves nicely with others.,Neutral
Reminds the class about important tasks or dates.,Neutral
Speaks clearly and confidently when needed.,Negative
Keeps the class organized during activities.,Negative
Supports classmates and encourages teamwork.,Negative
"Is regular, punctual, and responsible.",Positive
Treats everyone fairly and respectfully.,Neutral
